iter	Passed	Remaining
0	160	160440
1	182	91169
2	207	69051
3	231	57705
4	254	50700
5	279	46322
6	307	43621
7	327	40632
8	349	38493
9	377	37384
10	399	35946
11	423	34872
12	445	33839
13	466	32882
14	490	32238
15	513	31550
16	537	31103
17	563	30742
18	585	30237
19	610	29910
20	632	29491
21	656	29202
22	678	28838
23	700	28496
24	720	28100
25	743	27850
26	768	27678
27	788	27383
28	811	27180
29	836	27045
30	862	26974
31	885	26789
32	908	26607
33	932	26499
34	955	26333
35	979	26228
36	1003	26114
37	1023	25912
38	1048	25838
39	1072	25747
40	1098	25697
41	1121	25583
42	1143	25459
43	1164	25307
44	1185	25156
45	1209	25092
46	1230	24946
47	1257	24932
48	1283	24915
49	1309	24881
50	1329	24740
51	1355	24717
52	1381	24679
53	1404	24613
54	1433	24624
55	1459	24596
56	1489	24638
57	1517	24640
58	1543	24615
59	1568	24578
60	1595	24553
61	1625	24590
62	1649	24527
63	1672	24464
64	1701	24478
65	1728	24454
66	1756	24454
67	1783	24442
68	1807	24382
69	1833	24357
70	1862	24375
71	1897	24459
72	1931	24524
73	1966	24610
74	1998	24647
75	2028	24661
76	2057	24666
77	2091	24724
78	2123	24760
79	2154	24774
80	2182	24760
81	2213	24784
82	2247	24828
83	2278	24844
84	2314	24914
85	2347	24954
86	2383	25014
87	2412	24999
88	2442	25001
89	2476	25042
90	2505	25032
91	2532	24990
92	2559	24959
93	2586	24925
94	2613	24898
95	2645	24911
96	2682	24970
97	2712	24964
98	2740	24939
99	2771	24941
100	2807	24993
101	2837	24981
102	2867	24968
103	2898	24969
104	2932	24993
105	2962	24981
106	2987	24936
107	3016	24916
108	3044	24890
109	3075	24884
110	3103	24853
111	3129	24811
112	3160	24811
113	3187	24772
114	3214	24739
115	3245	24730
116	3276	24731
117	3306	24712
118	3340	24733
119	3360	24646
120	3395	24665
121	3418	24604
122	3451	24609
123	3483	24609
124	3519	24638
125	3546	24597
126	3572	24559
127	3606	24568
128	3639	24575
129	3669	24558
130	3702	24560
131	3731	24535
132	3760	24516
133	3786	24472
134	3814	24438
135	3840	24398
136	3865	24349
137	3893	24322
138	3921	24291
139	3948	24252
140	3978	24240
141	4012	24246
142	4038	24200
143	4067	24177
144	4094	24141
145	4124	24123
146	4155	24114
147	4178	24056
148	4203	24006
149	4231	23979
150	4261	23961
151	4289	23928
152	4315	23891
153	4345	23872
154	4372	23839
155	4398	23796
156	4427	23774
157	4453	23730
158	4479	23692
159	4506	23660
160	4531	23615
161	4557	23576
162	4586	23550
163	4614	23523
164	4639	23480
165	4665	23438
166	4691	23401
167	4773	23640
168	4805	23630
169	4830	23583
170	4855	23541
171	4883	23508
172	4908	23463
173	4932	23413
174	4955	23362
175	4981	23321
176	5010	23299
177	5032	23241
178	5058	23201
179	5083	23158
180	5111	23130
181	5133	23071
182	5159	23035
183	5188	23011
184	5216	22980
185	5239	22930
186	5263	22884
187	5289	22845
188	5314	22803
189	5337	22755
190	5364	22723
191	5387	22673
192	5413	22636
193	5438	22596
194	5467	22570
195	5496	22548
196	5522	22510
197	5550	22484
198	5579	22458
199	5607	22430
200	5633	22394
201	5657	22348
202	5681	22307
203	5706	22265
204	5734	22239
205	5759	22199
206	5784	22161
207	5808	22118
208	5835	22086
209	5864	22061
210	5890	22025
211	5922	22012
212	5949	21982
213	5977	21954
214	6007	21935
215	6034	21902
216	6066	21890
217	6096	21870
218	6125	21845
219	6156	21826
220	6187	21811
221	6225	21818
222	6257	21803
223	6292	21798
224	6325	21788
225	6363	21792
226	6391	21766
227	6414	21718
228	6443	21695
229	6478	21689
230	6505	21655
231	6530	21618
232	6568	21623
233	6600	21606
234	6628	21577
235	6653	21538
236	6676	21495
237	6705	21468
238	6730	21431
239	6758	21401
240	6785	21370
241	6812	21339
242	6839	21305
243	6862	21262
244	6887	21225
245	6913	21190
246	6938	21153
247	6964	21118
248	6989	21081
249	7013	21039
250	7041	21011
251	7065	20972
252	7092	20942
253	7120	20914
254	7151	20892
255	7174	20850
256	7198	20810
257	7229	20790
258	7257	20763
259	7282	20728
260	7305	20685
261	7330	20647
262	7355	20611
263	7383	20583
264	7404	20536
265	7431	20506
266	7463	20489
267	7490	20459
268	7519	20434
269	7545	20401
270	7568	20360
271	7593	20322
272	7612	20273
273	7636	20232
274	7661	20198
275	7686	20164
276	7713	20132
277	7736	20093
278	7761	20057
279	7787	20025
